Graph of 5000 nodes
Total 183 groups
Each node has membership in 2.35 groups on average
group	count
2088	1
4144	1
568	1
2120	1
2152	1
4201	1
481	1
3202	1
976	1
1160	1
4290	1
2704	1
3224	1
3240	1
3768	1
2273	1
4840	1
3312	1
2808	1
3457	1
4360	1
2520	1
2857	1
2864	1
4920	1
4065	1
96	1
336	1
80	1
2416	1
900	1
2952	1
408	1
1448	1
1600	1
1000	1
576	1
2640	2
2528	2
3264	2
4544	2
3712	2
800	2
3648	2
2848	3
3616	3
3072	3
544	3
3776	4
2720	4
1152	4
3328	5
4608	5
32	5
2304	6
1344	6
1888	7
832	8
704	8
768	9
3584	9
3296	9
4448	9
3360	10
4128	10
4384	10
384	10
2560	11
2592	12
4576	14
1408	14
4768	14
3136	15
4160	16
1088	17
1504	17
2784	17
4064	17
1824	17
4352	18
2112	18
2016	19
1120	19
1536	20
4896	20
2208	20
352	21
128	22
4192	22
320	23
2464	24
3968	24
1952	25
1312	25
4640	26
4032	26
480	27
2272	28
2368	28
672	29
864	29
1760	30
4288	30
4672	31
448	31
2688	31
4512	31
1696	32
2240	33
4864	34
3520	34
160	35
1440	35
3744	35
512	36
3232	36
2656	36
2624	37
224	38
3904	38
2816	39
2976	40
2080	42
3008	43
2944	45
1248	46
3840	49
3040	49
3392	51
4000	53
2400	54
1216	54
4480	55
3200	56
2336	61
2880	61
3456	62
4224	63
1856	63
2144	64
1184	64
1280	65
3872	65
896	67
4704	67
3552	69
1728	69
3104	74
1792	75
4832	80
736	81
1632	82
608	83
4800	87
3936	88
64	89
192	92
1376	95
1568	96
4256	101
288	103
1472	108
4736	108
1664	108
4096	112
2752	127
2432	132
3808	136
256	143
4320	148
3168	155
416	160
4416	187
0	192
2048	204
2176	214
1984	222
3680	246
4928	345
928	483
1056	674
2912	1260
4960	2024
